CAGR,Vol,Sharpe,MaxDD,Hit%,window,vt_target,exec_speed,no_trade_band,w_cap,AnnTurn
0.1054,0.1551,0.5505,-0.303,0.5142,126,0.1,0.25,0.001,0.1,0.4315
0.1052,0.1551,0.5492,-0.303,0.5142,126,0.1,0.25,0.001,0.2,0.4931
0.1052,0.1551,0.5491,-0.303,0.5142,126,0.1,0.25,0.001,0.3,0.5071
0.1054,0.1551,0.5507,-0.303,0.5142,126,0.1,0.25,0.002,0.1,0.4292
0.1052,0.1551,0.5494,-0.303,0.5142,126,0.1,0.25,0.002,0.2,0.4908
0.1052,0.1551,0.5493,-0.303,0.5142,126,0.1,0.25,0.002,0.3,0.5048
0.1055,0.1551,0.5511,-0.303,0.5142,126,0.1,0.25,0.004,0.1,0.4242
0.1053,0.1551,0.5498,-0.303,0.5142,126,0.1,0.25,0.004,0.2,0.4858
0.1053,0.1551,0.5497,-0.303,0.5142,126,0.1,0.25,0.004,0.3,0.4998
0.1052,0.1551,0.5494,-0.303,0.5142,126,0.1,0.33,0.001,0.1,0.4823
0.1048,0.1552,0.5463,-0.303,0.5142,126,0.1,0.33,0.001,0.2,0.6419
0.1047,0.1552,0.5462,-0.303,0.5142,126,0.1,0.33,0.001,0.3,0.6559
0.1053,0.1551,0.5497,-0.303,0.5142,126,0.1,0.33,0.002,0.1,0.4793
0.1048,0.1552,0.5466,-0.303,0.5142,126,0.1,0.33,0.002,0.2,0.6388
0.1048,0.1552,0.5464,-0.303,0.5142,126,0.1,0.33,0.002,0.3,0.6528
0.1053,0.1551,0.5501,-0.303,0.5142,126,0.1,0.33,0.004,0.1,0.4727
